"mes_ano","Amazonia","Caatinga","Cerrado","Mata.Atlantica","Pampa","Pantanal"
"2011-01",771,221,456,273,22,145
"2011-02",271,135,321,362,16,22
"2011-03",427,170,308,322,36,2
"2011-04",465,116,703,254,77,2
"2011-05",528,76,1376,552,73,20
"2011-06",1083,183,3378,855,86,42
"2011-07",2445,306,5366,1450,96,105
"2011-08",8002,862,11387,3191,130,309
"2011-09",16987,3486,26468,7050,233,807
"2011-10",9760,3489,7656,1836,37,562
"2011-11",9815,4271,2889,618,75,873
"2011-12",7632,3246,1374,444,50,643
"2012-01",1203,788,421,317,61,188
"2012-02",438,243,478,452,34,83
"2012-03",484,404,764,689,71,97
"2012-04",473,259,1092,609,36,38
"2012-05",855,283,1896,687,151,115
"2012-06",1875,370,3817,500,159,109
"2012-07",3095,649,9362,1052,220,490
"2012-08",20687,1829,22737,2810,165,2698
"2012-09",24067,3626,30053,3082,62,2518
"2012-10",14814,4582,16515,3077,40,832
"2012-11",13259,2063,1830,763,42,157
"2012-12",5469,1621,1635,660,12,122
"2013-01",1181,340,475,412,28,108
"2013-02",374,207,604,429,46,55
"2013-03",738,219,613,548,50,115
"2013-04",518,71,706,488,57,51
"2013-05",796,73,1418,478,32,47
"2013-06",1450,125,2684,356,33,17
"2013-07",2531,191,4761,1087,95,129
"2013-08",9444,561,8496,2280,189,440
"2013-09",16786,2452,12615,2839,126,1201
"2013-10",10242,2164,7696,1454,59,544
"2013-11",6615,1889,2370,508,59,513
"2013-12",8013,1567,1579,505,27,176
"2014-01",1573,360,567,422,19,103
"2014-02",473,68,315,434,17,64
"2014-03",1010,104,497,256,39,23
"2014-04",632,73,897,317,50,55
"2014-05",673,74,1673,445,50,16
"2014-06",1628,168,3849,487,53,27
"2014-07",2766,414,6220,965,74,90
"2014-08",20113,907,15525,3912,254,134
"2014-09",20522,2079,15523,3493,57,375
"2014-10",13221,2324,16357,4168,39,459
"2014-11",12169,1762,3085,432,35,184
"2014-12",7773,1163,1363,366,21,37
"2015-01",2042,428,1096,638,14,95
"2015-02",1047,138,383,389,18,51
"2015-03",572,99,528,384,48,28
"2015-04",762,86,634,371,142,29
"2015-05",407,81,1174,349,122,36
"2015-06",1287,155,3313,539,57,218
"2015-07",2817,285,4662,528,24,225
"2015-08",20471,1203,12684,2414,86,1025
"2015-09",29326,4079,23795,3219,139,1181
"2015-10",19469,3909,19531,2991,47,794
"2015-11",16935,2599,4731,1852,12,282
"2015-12",11303,2071,2563,1251,21,494
"2016-01",4657,258,392,579,37,37
"2016-02",1559,112,1048,457,33,29
"2016-03",2024,56,767,536,24,18
"2016-04",1075,95,1449,732,23,34
"2016-05",895,80,1782,437,34,59
"2016-06",1663,158,3187,901,183,93
"2016-07",6120,551,8675,3155,199,542
"2016-08",18340,1504,13730,4165,383,966
"2016-09",20460,2095,13256,4146,252,2000
"2016-10",14234,4274,9968,1210,57,1066
"2016-11",11610,2882,3647,763,43,215
"2016-12",5124,1528,932,438,59,125
"2017-01",796,305,491,385,15,261
"2017-02",379,81,376,309,21,73
"2017-03",736,70,687,328,31,68
"2017-04",618,49,696,261,41,38
"2017-05",805,64,1428,187,39,48
"2017-06",1759,78,2858,531,65,93
"2017-07",7986,167,6258,2285,262,610
"2017-08",21244,795,10815,3201,233,1092
"2017-09",36569,1759,26975,4939,65,2588
"2017-10",14457,4030,12393,2003,55,669
"2017-11",14105,1792,2345,818,60,214
"2017-12",7985,1814,1440,347,49,19
"2018-01",1444,316,521,209,40,23
"2018-02",888,30,235,264,51,8
"2018-03",1359,58,842,321,63,14
"2018-04",513,28,549,490,57,19
"2018-05",772,68,1729,699,70,28
"2018-06",1980,196,2922,613,33,46
"2018-07",4788,594,5220,1813,47,190
"2018-08",10421,1516,7992,2338,232,275
"2018-09",24803,2820,11467,2309,67,785
"2018-10",10654,2476,5041,1243,34,120
"2018-11",8881,1876,1763,450,24,20
"2018-12",1842,1369,1168,547,24,163
"2019-01",1419,433,1213,608,20,337
"2019-02",1368,73,574,607,32,211
"2019-03",3383,58,936,661,82,93
"2019-04",1702,28,753,276,50,33
"2019-05",854,59,1719,240,23,68
"2019-06",1880,135,4088,814,102,239
"2019-07",5318,302,5346,1712,222,494
"2019-08",30900,1304,12906,4689,446,1690
"2019-09",19925,2827,22989,4333,273,2887
"2019-10",7855,4716,8356,2184,72,2430
"2019-11",11297,3212,3251,1499,30,1296
"2019-12",3275,1813,1743,554,68,247
"2020-01",1200,293,662,421,25,265
"2020-02",1196,62,709,454,72,164
"2020-03",1641,22,890,549,176,602
"2020-04",789,38,1158,1013,335,784
"2020-05",829,42,1481,1028,309,313
"2020-06",2248,83,3487,802,83,406
"2020-07",6803,265,5663,1322,67,1684
"2020-08",29307,838,10155,4079,380,5935
"2020-09",32017,3037,21802,4279,88,8106
"2020-10",17326,5226,13440,2553,67,2856
"2020-11",6321,2686,2957,676,45,778
"2020-12",3484,1912,1415,336,38,223
